,,,,,,,,,,,,,
,,,,,,,,,,,,,
Variable-Veh 1 Color,Variable-Veh 1 Distance,Variable-Veh 1 Speed,Variable-Veh 1 Deviation,Variable-Veh 1 Integral,Variable-Veh 1 Derivative,Variable-Veh 1 angle,Variable-Veh 2 Color,Variable-Veh 2 Distance,Variable-Veh 2 Speed,Variable-Veh 2 Deviation,Variable-Veh 2 Integral,Variable-Veh 2 Derivative,Variable-Veh 2 angle
6,2390,101,-31.5,0,-53,-39.1,36,2124,165,-4,0,-28,-16.4
4,2378,101.5,-33.5,-33.5,-2,-17.75,6,2550,165,-34,-34,-30,-38.8
70,2354,102,32.5,0,66,46,30,2550,165,-10,-44,24,1.6
77,2340,102.5,39.5,39.5,7,23.25,80,2550,165,40,0,50,49
21,2340,103,-16.5,0,-56,-34.6,80,1372,165,40,40,0,28
6,2340,103.5,-31.5,-31.5,-15,-23.25,37,2550,165,-3,0,-43,-23.3
25,2320,104,-12.5,-44,19,0.1,7,1288,165,-33,-33,-30,-38.1
61,2306,104.5,23.5,0,36,27.4,12,1286,165,-28,-61,5,-20.4
55,2291,105,17.5,17.5,-6,5.75,72,1255,165,32,0,60,49.2
15,2282,105.5,-22.5,0,-40,-29,67,2550,165,27,27,-5,16.4
19,2265,106,-18.5,-18.5,4,-7.25,61,2282,165,21,48,-6,14.4
71,2252,106.5,33.5,0,52,39.4,62,2550,165,22,70,1,20.7
72,2230,107,34.5,34.5,1,17.75,67,2550,165,27,97,5,28.4
7,2550,107.5,-30.5,0,-65,-44.7,70,2154,165,30,127,3,32.2
5,2550,108,-32.5,-32.5,-2,-17.25,77,2550,90,37,164,7,42.1
66,2550,108.5,28.5,0,61,41.9,75,1145,90,35,199,-2,39.9
67,2550,109,29.5,29.5,1,15.25,84,1119,90,44,243,9,55.2
13,2550,109.5,-24.5,0,-54,-36.8,85,1093,90,45,288,1,56.3
5,2550,110,-32.5,-32.5,-8,-20.25,82,1058,90,42,330,-3,56.7
35,2550,110.5,-2.5,0,30,14,73,1044,90,33,363,-9,51.6
57,2550,111,19.5,0,22,18.8,80,1052,90,40,403,7,67.8
21,2550,111.5,-16.5,0,-36,-24.6,6,595,90,-34,0,-74,-57.4
6,2550,112,-31.5,-31.5,-15,-23.25,8,605,94.5,-32,-32,2,-21.4
49,2550,112.5,11.5,0,43,26.1,5,559,99.225,-35,-67,-3,-29.2
70,2550,113,32.5,32.5,21,26.75,8,574,104.18625,-32,-99,3,-27.6
24,2550,113.5,-13.5,0,-46,-28.4,6,574,109.3955625,-34,-133,-2,-34.7
6,2550,114,-31.5,-31.5,-18,-24.75,5,758,90,-35,-168,-1,-38.3
22,2550,114.5,-15.5,-47,16,-2.9,5,2550,90,-35,-203,0,-41.3
61,2550,115,23.5,0,39,28.9,5,2550,90,-35,-238,0,-44.8
55,2550,115.5,17.5,17.5,-6,5.75,72,2550,90,32,0,67,52.7
10,2550,116,-27.5,0,-45,-33.5,75,1848,94.5,35,35,3,26
9,2550,116.5,-28.5,-28.5,-1,-14.75,79,2550,99.225,39,74,4,32.8
74,2550,117,36.5,0,65,47.1,80,1746,104.18625,40,114,1,35.9
