,,,,,,,,,,,,,
,,,,,,,,,,,,,
 Veh 1 Color, Veh 1 Speed, Veh 1 Distance, Veh 1 Deviation, Veh 1 Integral, Veh 1 Derivative, Veh 1 Angle, Veh 2 Color, Veh 2 Speed, Veh 2 Distance, Veh 2 Deviation, Veh 2 Integral, Veh 2 Derivative, Veh 2 Angle
45,107,2550,7.5,0,7,6.5,67,90,321,27,27,11,24.4
43,107.5,2550,5.5,0,-2,1.2,19,90,330,-21,0,-48,-36.6
33,108,2550,-4.5,0,-10,-6.8,43,94.5,336,3,0,24,13.8
38,108.5,2550,0.5,0,5,2.7,62,90,329,22,22,19,24.9
44,109,2550,6.5,0,6,5.6,29,94.5,340,-11,0,-33,-23.1
39,109.5,2550,1.5,0,-5,-1.9,32,90,321,-8,0,3,-3.3
42,110,2550,4.5,0,3,3.3,50,94.5,348,10,0,18,15
38,110.5,2550,0.5,0,-4,-1.8,39,90,321,-1,0,-11,-6.1
30,111,2550,-7.5,0,-8,-7,46,94.5,340,6,0,7,7.1
36,111.5,2550,-1.5,0,6,2.4,44,99.225,349,4,0,-2,1.4
40,112,2550,2.5,0,4,3,42,90,321,2,0,-2,0.2
35,112.5,2550,-2.5,0,-5,-3.5,43,94.5,357,3,0,1,2.3
36,113,2550,-1.5,0,1,-0.1,45,90,326,5,0,2,4
39,113.5,2550,1.5,0,3,2.1,46,90,326,6,0,1,4.1
38,114,2550,0.5,0,-1,-0.3,35,94.5,365,-5,0,-11,-8.5
42,114.5,2550,4.5,0,4,3.8,43,99.225,345,3,0,8,5.8
34,115,2550,-3.5,0,-8,-5.4,45,104.18625,357,5,0,2,4
34,115.5,2550,-3.5,0,0,-1.4,27,109.3955625,355,-13,0,-18,-16.8
39,116,2550,1.5,0,5,3.1,43,114.8653406,357,3,0,16,9.8
36,116.5,2550,-1.5,0,-3,-2.1,51,120.6086077,355,11,11,8,11.7
33,117,2550,-4.5,0,-3,-3.3,41,126.639038,357,1,0,-10,-4.4
41,117.5,2550,3.5,0,8,5.4,32,132.9709899,357,-8,0,-9,-9.3
38,118,2550,0.5,0,-3,-1.3,45,139.6195394,347,5,0,13,9.5
33,118.5,2550,-4.5,0,-5,-4.3,37,146.6005164,340,-3,0,-8,-5.8
50,119,2550,12.5,0,17,13.5,34,153.9305422,340,-6,0,-3,-5.1
50,118,406,12.5,12.5,0,6.25,41,90,326,1,0,7,4.1
58,117,406,20.5,33,8,15.5,46,94.5,334,6,0,5,6.1
61,116,406,23.5,56.5,3,16.55,27,99.225,340,-13,0,-19,-17.3
52,90,362,14.5,71,-9,8.4,42,90,328,2,0,15,8.7
55,90.5,2550,17.5,88.5,3,17.35,47,94.5,340,7,0,5,6.7
61,91,2550,23.5,112,6,23.6,40,99.225,340,0,0,-7,-3.5
65,91.5,2550,27.5,139.5,4,26.95,40,104.18625,364,0,0,0,0
65,92,2550,27.5,167,0,27.7,44,109.3955625,355,4,0,4,4.4
67,92.5,2550,29.5,196.5,2,32.45,37,114.8653406,355,-3,0,-7,-5.3
70,93,1324,32.5,229,3,37.4,38,120.6086077,361,-2,0,1,-0.7
69,93.5,1316,31.5,260.5,-1,38.15,39,126.639038,357,-1,0,1,-0.1
45,94,1286,7.5,0,-24,-9,44,90,326,4,0,5,4.9
25,94.5,1288,-12.5,0,-20,-15,44,94.5,366,4,0,0,2.4
43,95,1267,5.5,0,18,11.2,40,90,326,0,0,-4,-2
50,95.5,1246,12.5,12.5,7,9.75,39,94.5,383,-1,0,-1,-1.1
46,96,1253,8.5,0,-4,1.4,55,90,326,15,0,16,17
51,96.5,1234,13.5,13.5,5,9.25,27,90,326,-13,0,-28,-21.8
56,97,1217,18.5,32,5,13.1,38,94.5,365,-2,0,11,4.3
61,97.5,1179,23.5,55.5,5,17.45,59,99.225,427,19,0,21,21.9
66,98,1156,28.5,84,5,22.3,14,104.18625,404,-26,0,-45,-38.1
68,98.5,1138,30.5,114.5,2,24.65,35,109.3955625,380,-5,0,21,7.5
65,99,1139,27.5,142,-3,23.7,69,114.8653406,380,29,0,34,34.4
42,99.5,1155,4.5,0,-23,-9.7,18,120.6086077,380,-22,0,-51,-38.7
60,100,1147,22.5,22.5,18,20.25,8,126.639038,385,-32,-32,-10,-27.4
62,100.5,1147,24.5,47,2,15.5,67,132.9709899,410,27,0,59,45.7
60,101,1122,22.5,69.5,-2,14.95,73,139.6195394,353,33,33,6,26.1
64,101.5,1121,26.5,96,4,22.2,16,146.6005164,340,-24,0,-57,-42.9
56,102,2550,18.5,114.5,-8,14.85,18,153.9305422,334,-22,-22,2,-14.4
62,102.5,2550,24.5,139,6,26.7,68,90,326,28,0,50,41.8
56,103,2550,18.5,157.5,-6,20.15,57,90,326,17,17,-11,6.4
52,103.5,2550,14.5,172,-4,21,4,90,321,-36,0,-53,-48.1
41,104,2550,3.5,0,-11,-4.1,43,90,321,3,0,39,21.3
31,104.5,2550,-6.5,0,-10,-7.6,69,90,328,29,29,26,33.3
40,105,2550,2.5,0,9,5.5,18,94.5,340,-22,0,-51,-38.7
